Card ID,Title,Current Page,Proposed Area,Action,Flags,Owner,Card Type,Dataset,Last Modified,Age Days,Has Description,Locked
161074,Board Deck | 2024 Signups vs. Plan,Shared,Acquisition & Funnel,Triage,Stale (1+ yr); No description; Shared/root,Charles Cooper,kpi,Board Deck | 2024 Signups vs. Plan,2025-01-10,523,No,No
211219,Upfront Cash,UAA,Revenue & Finance,Merge,No description; Duplicate title,Kevin Sander,kpi,PROD | Event Agg,2026-02-13,124,No,No
485893,Total Pipeline by Stage,Weighted Pipeline,Revenue & Finance,Merge,No description; Duplicate title,Emi Boles,kpi,RAW_contract_forecast_sot,2026-04-30,48,No,No
724550,Studio Shows Social Posts - (Ordered by Publish Date),Studio Shows Reporting,Social & Editorial,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,Social Media Post Metrics,2024-11-26,568,No,No
909035,HockeyTV - Yearly Renewal Rate,DEP - HockeyTV Migration Health,Subscriber Health,Retire,Stale (1+ yr); No description; Locked; Noise page,Matthew Murman,kpi,DEP_eligible_retention_rate,2024-10-28,597,No,Yes
1988995,"VODs (Includes Replays, Films, and Editorial) - by view date",2024 End of Year Recap,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,Charles Cooper,kpi,PROD | Content Agg,2024-12-05,559,No,No
2755210,Duplicate of Signup Forecast,Week 6 postseason Wrestling,Revenue & Finance,Review → Retire,Very stale (2+ yrs); No description; Duplicate title,Travis Peter,kpi,PROD | Event Agg,2024-02-19,849,No,No
2813160,RAW_slt_weekly_engagement_metrics,Weekly Metrics Presentation,Executive,Review → Keep or Retire,Stale (1+ yr); No description; Locked,Matthew Murman,kpi,DEP_slt_weekly_engagement_metrics,2024-10-28,597,No,Yes
3268097,Signups by Plan,2024 AHL Tracking,Acquisition & Funnel,Merge,No description; Duplicate title,Charles Cooper,kpi,Prod | 2024 AHL Tracking,2026-02-26,111,No,No
3419748,attribution check,Overview,Content & Viewership,Review → Keep or Retire,Stale (1+ yr); No description,,kpi,PROD | Content Agg,2025-04-21,422,No,No
