Card ID,Title,Card Type,Owner User ID,Owner Name,Page,Page ID,Last Modified Date/Time,Locked,Description,Dataset ID,Dataset Name,Page Type,Parent Page ID,_BATCH_ID_,_BATCH_LAST_RUN_
161074,Board Deck | 2024 Signups vs. Plan,kpi,2108468806,Charles Cooper,Shared,'-100002,2025-01-10 22:49:11,false,,0dde9c53-67c9-487c-bd71-d375ee46b498,Board Deck | 2024 Signups vs. Plan,page,,1.0,2026-06-16 18:49:38
211219,Upfront Cash,kpi,674916250,Kevin Sander,UAA,534053281,2026-02-13 20:29:14,false,,82183931-4cbf-4e88-999f-de67030e9b87,PROD | Event Agg,page,,1.0,2026-06-16 18:49:38
485893,Total Pipeline by Stage,kpi,1937727018,Emi Boles,Weighted Pipeline,1090240960,2026-04-30 18:28:51,false,,b0740f12-2e9b-4f96-8095-91e60a31e2ea,RAW_contract_forecast_sot,page,,1.0,2026-06-16 18:49:38
724550,Studio Shows Social Posts - (Ordered by Publish Date),kpi,2108468806,Charles Cooper,Studio Shows Reporting,2539647,2024-11-26 17:21:52,false,,ec21ee3b-3bf5-44ed-9c58-dac3e4acd2e2,Social Media Post Metrics,page,,1.0,2026-06-16 18:49:38
909035,HockeyTV - Yearly Renewal Rate,kpi,1501567905,Matthew Murman,DEP - HockeyTV Migration Health,1710469091,2024-10-28 20:51:04,true,,10445775-1055-4dbc-a65b-7f1a80215f8e,DEP_eligible_retention_rate,page,,1.0,2026-06-16 18:49:38
1988995,"VODs (Includes Replays, Films, and Editorial) - by view date",kpi,2108468806,Charles Cooper,2024 End of Year Recap,29670934,2024-12-05 20:42:49,false,,4adab0df-67c4-43ea-b5f9-2e60f4d0cacb,PROD | Content Agg,page,,1.0,2026-06-16 18:49:38
2755210,Duplicate of Signup Forecast,kpi,649158282,Travis Peter,Week 6 postseason Wrestling,776267028,2024-02-19 16:42:57,false,,82183931-4cbf-4e88-999f-de67030e9b87,PROD | Event Agg,page,,1.0,2026-06-16 18:49:38
2813160,RAW_slt_weekly_engagement_metrics,kpi,1501567905,Matthew Murman,Weekly Metrics Presentation,1342636807,2024-10-28 20:54:52,true,,f74eae66-bbd0-4018-aa55-d5e53f48e500,DEP_slt_weekly_engagement_metrics,page,,1.0,2026-06-16 18:49:38
3268097,Signups by Plan,kpi,2108468806,Charles Cooper,2024 AHL Tracking,1387540374,2026-02-26 19:19:33,false,,1e997230-fd22-471b-8d6e-3c8fa3207515,Prod | 2024 AHL Tracking,page,,1.0,2026-06-16 18:49:38
3419748,attribution check,kpi,,,Overview,'-100000,2025-04-21 16:08:30,false,,4adab0df-67c4-43ea-b5f9-2e60f4d0cacb,PROD | Content Agg,page,,1.0,2026-06-16 18:49:38
3938401,'- Renewal Cash,kpi,2108468806,Charles Cooper,College Sub KPIs,93857566,2026-04-01 15:12:42,false,,d664e392-3c5d-4929-8136-2b315d9a0c31,PROD | Forecast Agg - 2026 - SLT,dataappview,1037203632,1.0,2026-06-16 18:49:38
4136107,Marketing Channel Attribution Vertical Agnostic,kpi,,,Marketing Channel Attribution Tables,843932961,2024-04-01 18:18:41,false,,60eceae2-6d19-491d-a88b-896b28ee2a2e,PROD | Marketing Channels,page,,1.0,2026-06-16 18:49:38
4718335,Gross Live Viewers,kpi,1501567905,Matthew Murman,Vertical Performance,798993707,2024-10-28 20:51:03,true,,e18e02ff-0ddc-4c23-9293-87c3aec3a4ed,PROD | Monthly Live Viewership,page,,1.0,2026-06-16 18:49:38
5515898,'- New Cash vs Forecast,kpi,2108468806,Charles Cooper,College Sub KPIs,93857566,2026-04-01 15:12:42,false,,d664e392-3c5d-4929-8136-2b315d9a0c31,PROD | Forecast Agg - 2026 - SLT,dataappview,1037203632,1.0,2026-06-16 18:49:38
5894210,Rankings Table,kpi,2108468806,Charles Cooper,Article Benchmarking,1038584596,2024-07-02 23:14:02,false,,f14721c4-200e-4fd6-919c-1ecc5407012a,PROD | Article Benchmarking,page,,1.0,2026-06-16 18:49:38
6330566,Editorial Content Net Profit,kpi,363283542,Matthew Williams,WIP Editorial Revenue / Costs,1315732196,2026-06-16 15:16:42,false,,f7026832-5646-4b91-8bab-f75fc8e97a4f,editorial content : revenue and costs agg,page,,1.0,2026-06-16 18:49:38
6330566,Editorial Content Net Profit,kpi,363283542,Matthew Williams,Overview,'-100000,2026-06-16 15:16:42,false,,f7026832-5646-4b91-8bab-f75fc8e97a4f,editorial content : revenue and costs agg,page,,1.0,2026-06-16 18:49:38
7313580,Submission Frequency by Problem,kpi,27233377,Justin Hoyman,JH Dash,1757584455,2024-12-18 20:14:01,false,,f8e475b6-9ed6-42e4-9b70-e975fa54c829,PROD | Live Stream Feedback,page,,1.0,2026-06-16 18:49:38
7346044,Pre-Funnel Visits Starting on Content Pages,kpi,2108468806,Charles Cooper,Produced Content Funnel Analysis,213074388,2024-04-03 15:55:07,false,,ef20a4d8-b63a-4829-aefa-3e4502b4e7b4,DEP |Content Funnel,page,,1.0,2026-06-16 18:49:38
7933626,Email Campaigns - Position Based Signups and Cash,kpi,1501567905,Matthew Murman,Email Marketing ,379817940,2026-04-30 18:50:55,true,,60eceae2-6d19-491d-a88b-896b28ee2a2e,PROD | Marketing Channels,page,,1.0,2026-06-16 18:49:38
8463081,4Q MS Goals,kpi,2108468806,Charles Cooper,Favorites,'-100003,2024-11-20 19:29:29,false,,7f56d46c-73ae-4ff4-acdc-166daccc2a30,PROD | TEMP 4Q MS Goals,page,,1.0,2026-06-16 18:49:38
8463081,4Q MS Goals,kpi,2108468806,Charles Cooper,2024 MileSplit KPIs,665539905,2024-11-20 19:29:29,false,,7f56d46c-73ae-4ff4-acdc-166daccc2a30,PROD | TEMP 4Q MS Goals,page,,1.0,2026-06-16 18:49:38
8753513,Video Codec - Live,kpi,363283542,Matthew Williams,Live,755999457,2025-06-25 20:17:14,false,,fd887517-b5ad-4ddb-abd0-b5c4d9ce9cb5,Video Codec - Live Distribution,page,,1.0,2026-06-16 18:49:38
9170824,Gross Viewers - 22-23 Season,kpi,2108468806,Charles Cooper,2024 Hockey Performance,469684393,2024-04-17 22:21:48,false,,82183931-4cbf-4e88-999f-de67030e9b87,PROD | Event Agg,page,,1.0,2026-06-16 18:49:38
